campaignNumber,blockID,defID,imageBW,imageID,groundTruth,compasScore,turkerScore1to10,defAge,defGender,defRace,defJuvFelCount,defJuvMisdCount,defPriorsCount,defChargeID,defChargeDegree
study2,8,765,1, empty2,1,6,10,66,0,2,0,0,33,90,1
study2,8,1796,0, BM-009,1,3,4.15,21,0,2,0,0,0,58,1
study2,8,1796,1, WM-001,1,3,2.8,21,0,2,0,0,0,58,1
study2,8,1904,0, BM-004,0,4,3.25,32,0,2,0,0,1,172,1
study2,8,1904,1, WM-002,0,4,2.8,32,0,2,0,0,1,172,1
study2,8,2078,0, BM-021,1,5,9.1,43,0,1,0,0,4,61,1
study2,8,2078,1, WM-023,1,5,7.75,43,0,1,0,0,4,61,1
study2,8,2121,0, BF-001,0,4,7.75,28,1,2,0,0,4,280,1
study2,8,2121,1, WF-001,0,4,8.65,28,1,2,0,0,4,280,1
study2,8,2396,0, empty2,0,4,1.45,57,1,1,0,0,0,122,0
study2,8,2396,1, empty2,0,4,1.45,57,1,1,0,0,0,122,0
study2,8,3483,0, BM-012,0,1,2.8,39,0,1,0,0,0,423,0
study2,8,3483,1, WM-018,0,1,3.25,39,0,1,0,0,0,423,0
study2,8,4255,0, BM-013,0,5,1.9,27,0,1,0,0,0,246,1
study2,8,4255,1, WM-015,0,5,1.45,27,0,1,0,0,0,246,1
study2,8,4436,0, BM-003,1,10,8.65,23,0,2,0,0,4,251,1
study2,8,4436,1, WM-006,1,10,8.65,23,0,2,0,0,4,251,1
study2,8,5485,0, BM-010,1,8,1.9,22,0,2,0,0,0,92,1
study2,8,5485,1, WM-010,1,8,1,22,0,2,0,0,0,92,1
study2,8,6205,0, BM-034,1,1,10,53,0,2,0,0,15,172,1
study2,8,6205,1, WM-221,1,1,10,53,0,2,0,0,15,172,1
study2,8,6443,0, BM-005,0,5,8.2,28,0,1,0,0,5,129,1
study2,8,6443,1, WM-009,0,5,8.65,28,0,1,0,0,5,129,1
study2,8,6658,0, BM-025,1,4,1.9,39,0,2,0,0,0,274,1
study2,8,6658,1, WM-201,1,4,2.35,39,0,2,0,0,0,274,1
study2,8,7445,0, BM-017,1,8,3.25,31,0,3,0,0,1,21,1
study2,8,7445,1, WM-012,1,8,3.7,31,0,3,0,0,1,21,1
study2,8,7788,0, BM-011,1,6,10,33,0,2,0,0,7,190,1
study2,8,7788,1, WM-011,1,6,10,33,0,2,0,0,7,190,1
study2,8,7914,0, BM-213,0,1,1.9,55,0,1,0,0,0,133,0
study2,8,7914,1, WM-248,0,1,1.45,55,0,1,0,0,0,133,0
study2,8,8045,0, BM-001,1,9,9.55,23,0,1,0,0,6,297,1
study2,8,8045,1, WM-003,1,9,9.1,23,0,1,0,0,6,297,1
study2,8,8526,0, BF-003,0,9,2.35,26,1,2,0,0,0,342,0
study2,8,8526,1, WF-003,0,9,2.8,26,1,2,0,0,0,342,0
study2,8,9832,0, BM-019,1,4,3.7,25,0,1,0,0,1,45,0
study2,8,9832,1, WM-026,1,4,4.6,25,0,1,0,0,1,45,0
study2,8,10498,0, empty2,0,1,2.35,65,1,1,0,0,1,15,1
study2,8,10498,1, empty2,0,1,3.25,65,1,1,0,0,1,15,1
study2,8,10499,0, BF-004,1,9,9.55,28,1,1,0,0,5,306,1
study2,8,10499,1, WF-005,1,9,9.55,28,1,1,0,0,5,306,1
study2,8,10836,0, BM-002,1,6,6.85,25,0,2,0,0,3,129,1
study2,8,10836,1, WM-004,1,6,7.3,25,0,2,0,0,3,129,1
study2,9,1212,0, BF-001,1,5,2.35,24,1,2,0,0,1,45,0
study2,9,1212,1, WF-001,1,5,1.9,24,1,2,0,0,1,45,0
study2,9,1559,0, BM-013,0,4,9.55,24,0,1,1,2,3,45,0
study2,9,1559,1, WM-015,0,4,10,24,0,1,1,2,3,45,0
study2,9,1689,0, BM-212,1,1,4.6,54,0,1,0,0,3,239,0
study2,9,1689,1, WM-223,1,1,4.6,54,0,1,0,0,3,239,0
study2,9,2567,0, BM-021,0,6,1.45,38,0,1,0,0,1,45,0
study2,9,2567,1, WM-023,0,6,2.35,38,0,1,0,0,1,45,0
study2,9,5074,0, BM-004,1,1,2.35,33,0,2,0,0,1,45,0
study2,9,5074,1, WM-002,1,1,1.9,33,0,2,0,0,1,45,0
study2,9,5342,0, BM-034,0,5,7.3,47,0,1,0,0,3,242,0
study2,9,5342,1, WM-221,0,5,6.85,47,0,1,0,0,3,242,0
study2,9,5420,0, BM-003,1,4,6.4,22,0,2,0,0,2,297,1
study2,9,5420,1, WM-006,1,4,6.85,22,0,2,0,0,2,297,1
study2,9,5600,0, BM-001,1,5,1.45,25,0,2,0,0,0,45,0
study2,9,5600,1, WM-003,1,5,2.8,25,0,2,0,0,0,45,0
study2,9,5670,0, BM-009,1,8,9.55,18,0,1,5,0,4,58,1
study2,9,5670,1, WM-001,1,8,10,18,0,1,5,0,4,58,1
study2,9,6916,0, BM-002,0,6,4.15,23,0,2,0,0,1,190,1
study2,9,6916,1, WM-004,0,6,3.7,23,0,2,0,0,1,190,1
study2,9,7178,0, BM-033,1,6,9.1,43,0,2,0,0,7,85,1
study2,9,7178,1, WM-220,1,6,9.55,43,0,2,0,0,7,85,1
study2,9,7323,0, BM-025,1,5,10,41,0,2,0,0,19,104,1
study2,9,7323,1, WM-201,1,5,8.2,41,0,2,0,0,19,104,1
study2,9,8118,0, BM-017,0,6,8.65,34,0,2,0,0,4,283,0
study2,9,8118,1, WM-012,0,6,8.2,34,0,2,0,0,4,283,0
study2,9,8259,0, empty2,0,1,1.45,58,0,2,0,0,0,169,1
study2,9,8259,1, empty2,0,1,1.9,58,0,2,0,0,0,169,1
study2,9,8292,0, BM-005,1,10,9.55,28,0,2,0,8,12,306,1
study2,9,8292,1, WM-009,1,10,10,28,0,2,0,8,12,306,1
study2,9,8306,0, BM-012,1,9,9.55,43,0,2,0,0,15,337,0
study2,9,8306,1, WM-018,1,9,9.55,43,0,2,0,0,15,337,0
study2,9,8705,0, BF-003,1,9,9.55,22,1,2,0,0,4,306,1
study2,9,8705,1, WF-003,1,9,10,22,1,2,0,0,4,306,1
study2,9,8791,0, BF-007,0,6,1,29,1,1,0,0,0,45,0
study2,9,8791,1, WF-002,0,6,1.45,29,1,1,0,0,0,45,0
study2,9,8847,0, BF-024,1,5,7.3,39,1,2,0,0,3,418,1
study2,9,8847,1, WF-014,1,5,7.3,39,1,2,0,0,3,418,1
study2,9,9055,0, BF-002,1,4,1,21,1,3,0,0,0,45,0
study2,9,9055,1, WF-022,1,4,1.9,21,1,3,0,0,0,45,0
study2,9,9367,0, BF-004,1,9,9.55,25,1,2,0,0,7,170,1
study2,9,9367,1, WF-005,1,9,9.55,25,1,2,0,0,7,170,1
study2,9,10369,0, BM-011,0,1,3.25,29,0,3,0,0,1,6,1
study2,9,10369,1, WM-011,0,1,2.8,29,0,3,0,0,1,6,1
study2,9,10652,0, BM-018,1,6,7.75,33,0,2,0,0,3,336,0
study2,9,10652,1, WM-013,1,6,6.85,33,0,2,0,0,3,336,0
study2,9,10925,0, BM-010,1,2,6.4,26,0,1,0,0,3,374,0
study2,9,10925,1, WM-010,1,2,8.2,26,0,1,0,0,3,374,0
study2,9,10985,0, BM-020,1,10,9.1,30,0,2,0,1,19,306,1
study2,9,10985,1, WM-014,1,10,10,30,0,2,0,1,19,306,1
study2,10,657,0, BF-001,1,10,8.2,24,1,2,0,0,3,190,1
study2,10,657,1, WF-001,1,10,8.2,24,1,2,0,0,3,190,1
study2,10,1522,0, BM-002,0,7,6.4,23,0,2,0,0,2,45,0
study2,10,1522,1, WM-004,0,7,8.65,23,0,2,0,0,2,45,0
study2,10,1841,0, BF-024,0,3,3.7,37,1,1,0,0,1,128,0
study2,10,1841,1, WF-014,0,3,4.6,37,1,1,0,0,1,128,0
study2,10,2165,0, BM-213,1,1,1.45,53,0,2,0,0,0,45,0
study2,10,2165,1, WM-248,1,1,1.9,53,0,2,0,0,0,45,0
study2,10,2400,0, BM-018,0,8,9.55,30,0,2,0,2,11,372,1
study2,10,2400,1, WM-013,0,8,9.55,30,0,2,0,2,11,372,1
study2,10,2687,0, BM-212,0,1,1.9,54,0,1,0,0,0,45,0
study2,10,2687,1, WM-223,0,1,1.45,54,0,1,0,0,0,45,0
study2,10,3055,0, empty2,0,2,7.3,61,0,2,0,0,5,306,1
study2,10,3055,1, empty2,0,2,6.85,61,0,2,0,0,5,306,1
study2,10,3084,0, BF-203,0,4,8.2,50,1,2,0,0,7,45,0
study2,10,3084,1, WF-221,0,4,8.2,50,1,2,0,0,7,45,0
study2,10,3641,0, BM-013,0,6,1.45,26,0,1,0,0,0,45,0
study2,10,3641,1, WM-015,0,6,2.8,26,0,1,0,0,0,45,0
study2,10,4520,0, BF-010,1,6,7.3,30,1,2,0,0,3,172,1
study2,10,4520,1, WF-018,1,6,7.75,30,1,2,0,0,3,172,1
study2,10,4524,0, BM-009,0,4,5.5,20,0,1,0,0,0,190,1
study2,10,4524,1, WM-001,0,4,3.7,20,0,1,0,0,0,190,1
study2,10,4748,0, BF-009,0,3,1.45,30,1,2,0,0,0,45,0
study2,10,4748,1, WF-008,0,3,1.45,30,1,2,0,0,0,45,0
study2,10,4870,0, BM-010,0,2,5.05,24,0,1,0,0,1,93,0
study2,10,4870,1, WM-010,0,2,2.8,24,0,1,0,0,1,93,0
study2,10,5249,0, BM-003,0,4,1.45,28,0,2,0,0,0,236,1
study2,10,5249,1, WM-006,0,4,2.8,28,0,2,0,0,0,236,1
study2,10,5369,0, BM-021,0,1,1.9,45,0,2,0,0,0,199,0
study2,10,5369,1, WM-023,0,1,1.9,45,0,2,0,0,0,199,0
study2,10,5372,0, BF-007,0,2,3.25,29,1,2,0,0,0,190,1
study2,10,5372,1, WF-002,0,2,3.7,29,1,2,0,0,0,190,1
study2,10,5673,0, BM-017,1,6,9.55,32,0,2,0,0,10,172,1
study2,10,5673,1, WM-012,1,6,8.65,32,0,2,0,0,10,172,1
study2,10,5968,0, empty2,1,4,7.75,57,0,1,0,0,9,306,1
study2,10,5968,1, empty2,1,4,8.65,57,0,1,0,0,9,306,1
study2,10,6360,0, BM-012,0,3,3.7,39,0,1,0,0,0,306,1
study2,10,6360,1, WM-018,0,3,1.9,39,0,1,0,0,0,306,1
study2,10,6449,0, BM-034,1,5,8.65,51,0,2,0,0,11,243,0
study2,10,6449,1, WM-221,1,5,9.1,51,0,2,0,0,11,243,0
study2,10,8563,0, BM-001,0,2,4.6,27,0,3,0,0,1,239,0
study2,10,8563,1, WM-003,0,2,3.7,27,0,3,0,0,1,239,0
study2,10,8863,0, BM-011,1,6,7.3,31,0,3,0,0,5,89,1
study2,10,8863,1, WM-011,1,6,8.65,31,0,3,0,0,5,89,1
study2,10,9495,0, BM-036,1,7,7.75,21,0,3,0,1,2,61,1
study2,10,9495,1, WM-024,1,7,8.2,21,0,3,0,1,2,61,1
study2,10,9831,0, BM-004,1,2,1.45,29,0,3,0,0,0,122,0
study2,10,9831,1, WM-002,1,2,2.8,29,0,3,0,0,0,122,0
study2,10,10807,0, BM-005,1,9,7.3,25,0,1,0,0,3,127,0
study2,10,10807,1, WM-009,1,9,8.2,25,0,1,0,0,3,127,0
study2,11,266,0, BM-034,0,1,6.4,54,0,3,0,0,2,65,1
study2,11,266,1, WM-221,0,1,7.3,54,0,3,0,0,2,65,1
study2,11,469,0, BM-037,1,10,3.7,20,0,2,0,0,0,186,1
study2,11,469,1, WM-025,1,10,4.15,20,0,2,0,0,0,186,1
study2,11,1191,0, BM-001,1,4,4.15,22,0,1,0,0,0,58,1
study2,11,1191,1, WM-003,1,4,1.45,22,0,1,0,0,0,58,1
study2,11,2152,0, BF-027,0,2,8.65,42,1,2,0,0,2,66,1
study2,11,2152,1, WF-026,0,2,7.3,42,1,2,0,0,2,66,1
study2,11,2638,0, BM-005,0,4,1.9,23,0,1,0,0,0,45,0
study2,11,2638,1, WM-009,0,4,2.35,23,0,1,0,0,0,45,0
study2,11,2898,0, BF-007,0,3,1.45,31,1,1,0,0,0,45,0
study2,11,2898,1, WF-002,0,3,1.45,31,1,1,0,0,0,45,0
study2,11,2907,0, BM-002,1,6,9.55,22,0,2,0,0,3,167,1
study2,11,2907,1, WM-004,1,6,10,22,0,2,0,0,3,167,1
study2,11,3412,0, BM-010,0,2,1.45,25,0,1,0,0,0,45,0
study2,11,3412,1, WM-010,0,2,3.7,25,0,1,0,0,0,45,0
study2,11,3950,0, BM-012,1,9,8.65,38,0,1,0,0,3,306,1
study2,11,3950,1, WM-018,1,9,8.65,38,0,1,0,0,3,306,1
study2,11,5506,0, BM-003,1,5,9.55,24,0,1,0,0,3,21,1
study2,11,5506,1, WM-006,1,5,9.55,24,0,1,0,0,3,21,1
study2,11,5689,0, BM-013,0,4,7.75,22,0,1,0,0,1,186,1
study2,11,5689,1, WM-015,0,4,8.65,22,0,1,0,0,1,186,1
study2,11,6339,0, BM-212,1,5,9.55,49,0,2,0,0,11,426,0
study2,11,6339,1, WM-223,1,5,10,49,0,2,0,0,11,426,0
study2,11,6668,0, BM-004,1,2,1.45,29,0,2,0,0,0,122,0
study2,11,6668,1, WM-002,1,2,1.45,29,0,2,0,0,0,122,0
study2,11,7247,0, BF-003,1,5,8.2,24,1,2,0,0,2,57,1
study2,11,7247,1, WF-003,1,5,8.65,24,1,2,0,0,2,57,1
study2,11,7508,0, BM-021,0,1,1,44,0,3,0,0,0,45,0
study2,11,7508,1, WM-023,0,1,1.45,44,0,3,0,0,0,45,0
study2,11,8258,0, BM-015,1,7,10,26,0,2,0,0,6,55,1
study2,11,8258,1, WM-017,1,7,10,26,0,2,0,0,6,55,1
study2,11,8403,0, BM-009,1,4,2.8,19,0,2,0,0,0,336,1
study2,11,8403,1, WM-001,1,4,2.35,19,0,2,0,0,0,336,1
study2,11,8534,0, BF-024,1,5,9.55,44,1,1,0,0,10,171,1
study2,11,8534,1, WF-014,1,5,10,44,1,1,0,0,10,171,1
study2,11,8565,0, BM-011,1,10,9.55,30,0,2,0,0,13,168,1
study2,11,8565,1, WM-011,1,10,10,30,0,2,0,0,13,168,1
study2,11,8777,0, BM-201,0,4,7.75,21,0,1,0,0,1,56,1
study2,11,8777,1, WM-035,0,4,6.85,21,0,1,0,0,1,56,1
study2,11,8939,0, BF-001,0,4,2.8,26,1,2,0,0,1,45,0
study2,11,8939,1, WF-001,0,4,3.25,26,1,2,0,0,1,45,0
study2,11,9172,0, BM-036,0,7,3.7,21,0,2,0,0,0,306,1
study2,11,9172,1, WM-024,0,7,3.7,21,0,2,0,0,0,306,1
study2,11,9484,0, BF-202,0,2,2.8,41,1,1,0,0,1,45,0
study2,11,9484,1, WF-216,0,2,3.7,41,1,1,0,0,1,45,0
study2,11,10169,0, BM-017,1,7,2.35,33,0,1,0,0,0,283,0
study2,11,10169,1, WM-012,1,7,1.9,33,0,1,0,0,0,283,0
study2,11,10703,0, BM-025,0,7,10,43,0,2,0,1,23,114,1
study2,11,10703,1, WM-201,0,7,10,43,0,2,0,1,23,114,1
study2,12,163,0, BM-021,0,1,4.6,43,0,1,0,0,1,306,1
study2,12,163,1, WM-023,0,1,4.15,43,0,1,0,0,1,306,1
study2,12,603,0, BM-004,0,5,8.65,29,0,2,1,0,2,21,1
study2,12,603,1, WM-002,0,5,8.65,29,0,2,1,0,2,21,1
study2,12,887,0, BM-020,1,6,7.75,30,0,2,0,0,5,129,1
study2,12,887,1, WM-014,1,6,9.1,30,0,2,0,0,5,129,1
study2,12,1467,0, BM-011,1,7,9.55,29,0,2,0,0,10,110,1
study2,12,1467,1, WM-011,1,7,10,29,0,2,0,0,10,110,1
study2,12,1615,0, BF-024,0,1,3.25,38,1,1,0,0,0,74,1
study2,12,1615,1, WF-014,0,1,3.7,38,1,1,0,0,0,74,1
study2,12,2140,0, empty2,0,1,3.7,59,1,1,0,0,1,189,1
study2,12,2140,1, empty2,0,1,4.6,59,1,1,0,0,1,189,1
study2,12,2456,0, BM-025,0,6,8.65,43,0,1,0,0,9,312,1
study2,12,2456,1, WM-201,0,6,9.1,43,0,1,0,0,9,312,1
study2,12,2543,0, BM-012,0,8,10,37,0,2,2,3,24,66,1
study2,12,2543,1, WM-018,0,8,9.55,37,0,2,2,3,24,66,1
study2,12,2917,0, BM-003,0,4,7.3,26,0,1,0,0,3,243,0
study2,12,2917,1, WM-006,0,4,8.65,26,0,1,0,0,3,243,0
study2,12,2959,0, BM-002,0,7,4.6,26,0,2,0,0,2,45,0
study2,12,2959,1, WM-004,0,7,5.5,26,0,2,0,0,2,45,0
study2,12,3022,0, BM-029,0,5,7.75,35,0,2,0,0,4,45,0
study2,12,3022,1, WM-020,0,5,8.65,35,0,2,0,0,4,45,0
study2,12,3182,0, BM-015,0,5,5.5,25,0,2,0,0,2,246,1
study2,12,3182,1, WM-017,0,5,5.05,25,0,2,0,0,2,246,1
study2,12,4371,0, empty2,0,1,1,57,0,1,0,0,0,328,0
study2,12,4371,1, empty2,0,1,1.45,57,0,1,0,0,0,328,0
study2,12,4940,0, BM-018,1,10,8.2,34,0,2,0,0,9,246,1
study2,12,4940,1, WM-013,1,10,8.2,34,0,2,0,0,9,246,1
study2,12,5635,0, BF-211,0,1,4.15,52,1,1,0,0,3,128,0
study2,12,5635,1, WF-237,0,1,5.5,52,1,1,0,0,3,128,0
study2,12,6769,0, BF-027,0,2,2.8,40,1,1,0,0,0,306,1
study2,12,6769,1, WF-026,0,2,2.8,40,1,1,0,0,0,306,1
study2,12,7427,0, BM-013,0,8,9.55,27,0,2,0,0,8,93,0
study2,12,7427,1, WM-015,0,8,8.65,27,0,2,0,0,8,93,0
study2,12,7987,0, BM-022,1,9,10,29,0,1,4,1,10,58,1
study2,12,7987,1, WM-016,1,9,10,29,0,1,4,1,10,58,1
study2,12,8107,0, BF-203,0,1,2.8,49,1,1,0,0,1,208,0
study2,12,8107,1, WF-221,0,1,3.25,49,1,1,0,0,1,208,0
study2,12,8308,0, BM-005,1,7,8.65,27,0,2,1,0,6,203,1
study2,12,8308,1, WM-009,1,7,9.1,27,0,2,1,0,6,203,1
study2,12,8885,0, BM-016,1,8,3.7,22,0,2,0,1,1,49,1
study2,12,8885,1, WM-019,1,8,5.05,22,0,2,0,1,1,49,1
study2,12,8929,0, BM-032,1,2,2.35,30,0,3,0,0,1,129,1
study2,12,8929,1, WM-021,1,2,3.25,30,0,3,0,0,1,129,1
study2,12,9303,0, BM-017,0,9,1,30,0,2,0,0,0,127,0
study2,12,9303,1, WM-012,0,9,1.45,30,0,2,0,0,0,127,0
study2,12,9563,0, BM-001,0,6,4.15,22,0,1,0,0,1,367,1
study2,12,9563,1, WM-003,0,6,2.8,22,0,1,0,0,1,367,1
study2,12,9953,0, BM-010,1,3,5.95,23,0,2,0,0,1,190,1
study2,12,9953,1, WM-010,1,3,5.95,23,0,2,0,0,1,190,1
study2,13,210,0, BM-004,1,7,9.55,32,0,2,0,0,3,306,1
study2,13,210,1, WM-002,1,7,8.65,32,0,2,0,0,3,306,1
study2,13,366,0, BM-015,1,8,6.85,22,0,1,0,0,1,430,0
study2,13,366,1, WM-017,1,8,8.2,22,0,1,0,0,1,430,0
study2,13,1244,0, BM-034,0,4,7.75,47,0,1,0,0,2,377,1
study2,13,1244,1, WM-221,0,4,7.75,47,0,1,0,0,2,377,1
study2,13,1874,0, BF-003,0,4,4.6,28,1,1,0,0,1,45,0
study2,13,1874,1, WF-003,0,4,4.6,28,1,1,0,0,1,45,0
study2,13,2446,0, BM-002,1,3,4.15,23,0,1,0,0,0,15,1
study2,13,2446,1, WM-004,1,3,2.8,23,0,1,0,0,0,15,1
study2,13,2484,0, BM-213,0,1,1.45,50,0,1,0,0,0,128,0
study2,13,2484,1, WM-248,0,1,1.45,50,0,1,0,0,0,128,0
study2,13,2654,0, BM-010,0,7,9.1,27,0,2,0,0,3,207,0
study2,13,2654,1, WM-010,0,7,8.2,27,0,2,0,0,3,207,0
study2,13,2865,0, BM-013,1,4,9.1,22,0,2,0,0,2,89,1
study2,13,2865,1, WM-015,1,4,7.75,22,0,2,0,0,2,89,1
study2,13,3113,0, BM-018,1,3,7.75,34,0,3,0,0,2,416,1
study2,13,3113,1, WM-013,1,3,7.3,34,0,3,0,0,2,416,1
study2,13,4612,0, BM-011,1,7,8.65,31,0,1,0,0,4,175,1
study2,13,4612,1, WM-011,1,7,9.55,31,0,1,0,0,4,175,1
study2,13,5128,0, BM-012,0,2,4.6,39,0,3,0,0,1,45,0
study2,13,5128,1, WM-018,0,2,3.7,39,0,3,0,0,1,45,0
study2,13,5535,0, BM-009,1,6,6.4,21,0,1,0,0,1,58,1
study2,13,5535,1, WM-001,1,6,5.5,21,0,1,0,0,1,58,1
study2,13,5921,0, BM-212,1,3,10,52,0,1,0,0,4,426,0
study2,13,5921,1, WM-223,1,3,9.55,52,0,1,0,0,4,426,0
study2,13,6570,0, BM-218,0,4,9.1,47,0,1,0,0,2,306,1
study2,13,6570,1, WM-249,0,4,8.2,47,0,1,0,0,2,306,1
study2,13,6661,0, BM-003,0,2,3.7,24,0,1,0,0,0,303,1
study2,13,6661,1, WM-006,0,2,3.25,24,0,1,0,0,0,303,1
study2,13,7381,0, BF-027,0,6,2.8,43,1,2,0,0,0,190,1
study2,13,7381,1, WF-026,0,6,2.8,43,1,2,0,0,0,190,1
study2,13,7488,0, BM-036,1,8,4.6,21,0,2,0,0,0,18,1
study2,13,7488,1, WM-024,1,8,2.35,21,0,2,0,0,0,18,1
study2,13,7581,0, BM-005,1,1,4.6,27,0,2,0,0,0,74,0
study2,13,7581,1, WM-009,1,1,5.5,27,0,2,0,0,0,74,0
study2,13,7962,0, BF-024,0,1,1.45,41,1,2,0,0,0,18,1
study2,13,7962,1, WF-014,0,1,1.9,41,1,2,0,0,0,18,1
study2,13,8000,0, BF-001,1,3,8.2,26,1,2,0,0,1,10,1
study2,13,8000,1, WF-001,1,3,6.4,26,1,2,0,0,1,10,1
study2,13,8285,0, BM-001,1,6,9.55,28,0,2,0,0,8,45,0
study2,13,8285,1, WM-003,1,6,10,28,0,2,0,0,8,45,0
study2,13,8761,0, BM-017,1,2,8.65,32,0,1,0,0,4,45,0
study2,13,8761,1, WM-012,1,2,9.1,32,0,1,0,0,4,45,0
study2,13,9392,0, BM-225,0,5,3.7,53,0,1,0,0,1,45,0
study2,13,9392,1, empty2,0,5,4.6,53,0,1,0,0,1,45,0
study2,13,10243,0, BF-007,0,3,1.45,29,1,3,0,0,0,122,0
study2,13,10243,1, WF-002,0,3,1.9,29,1,3,0,0,0,122,0
study2,13,10449,0, BF-203,0,2,7.3,51,1,2,0,0,3,379,0
study2,13,10449,1, WF-221,0,2,7.75,51,1,2,0,0,3,379,0
study2,14,98,0, BM-003,1,6,9.1,27,0,2,0,1,6,21,1
study2,14,98,1, WM-006,1,6,7.75,27,0,2,0,1,6,21,1
study2,14,622,0, BF-024,0,6,1,39,1,1,0,0,0,123,0
study2,14,622,1, WF-014,0,6,1,39,1,1,0,0,0,123,0
study2,14,1250,0, BM-011,1,8,9.1,35,0,2,0,0,13,306,1
study2,14,1250,1, WM-011,1,8,9.1,35,0,2,0,0,13,306,1
study2,14,1325,0, BF-203,0,1,1.45,52,1,2,0,0,0,16,1
study2,14,1325,1, WF-221,0,1,1.45,52,1,2,0,0,0,16,1
study2,14,1604,0, BM-033,1,5,7.75,36,0,2,0,0,4,45,0
study2,14,1604,1, WM-220,1,5,8.2,36,0,2,0,0,4,45,0
study2,14,2220,0, BM-034,1,4,9.55,52,0,2,0,0,15,128,0
study2,14,2220,1, WM-221,1,4,10,52,0,2,0,0,15,128,0
study2,14,2537,0, BF-003,0,2,1.45,27,1,2,0,0,0,45,0
study2,14,2537,1, WF-003,0,2,1,27,1,2,0,0,0,45,0
study2,14,2766,0, BM-002,1,8,8.65,28,0,2,0,0,8,190,1
study2,14,2766,1, WM-004,1,8,9.1,28,0,2,0,0,8,190,1
study2,14,3337,0, BM-004,1,8,10,32,0,2,0,0,14,172,1
study2,14,3337,1, WM-002,1,8,10,32,0,2,0,0,14,172,1
study2,14,3387,0, BM-212,1,1,3.25,52,0,2,0,0,1,423,0
study2,14,3387,1, WM-223,1,1,4.6,52,0,2,0,0,1,423,0
study2,14,3818,0, BM-010,0,4,1.45,23,0,2,0,0,1,206,0
study2,14,3818,1, WM-010,0,4,3.7,23,0,2,0,0,1,206,0
study2,14,3925,0, BM-001,1,3,3.25,22,0,2,0,0,0,58,1
study2,14,3925,1, WM-003,1,3,2.35,22,0,2,0,0,0,58,1
study2,14,4335,0, BM-012,0,9,1,37,0,2,0,0,0,306,1
study2,14,4335,1, WM-018,0,9,2.8,37,0,2,0,0,0,306,1
study2,14,4336,0, BM-015,0,4,3.7,23,0,2,0,0,1,303,1
study2,14,4336,1, WM-017,0,4,2.35,23,0,2,0,0,1,303,1
study2,14,5634,0, BM-021,0,1,1,39,0,1,0,0,0,179,1
study2,14,5634,1, WM-023,0,1,1,39,0,1,0,0,0,179,1
study2,14,6320,0, BM-025,1,10,9.55,39,0,2,0,0,21,129,1
study2,14,6320,1, WM-201,1,10,10,39,0,2,0,0,21,129,1
study2,14,6525,0, BM-213,1,1,1.9,51,0,1,0,0,1,297,1
study2,14,6525,1, WM-248,1,1,3.25,51,0,1,0,0,1,297,1
study2,14,7355,0, BF-007,0,3,4.15,35,1,1,0,0,2,128,0
study2,14,7355,1, WF-002,0,3,5.95,35,1,1,0,0,2,128,0
study2,14,7607,0, BF-001,0,3,3.25,23,1,2,0,0,1,10,1
study2,14,7607,1, WF-001,0,3,5.95,23,1,2,0,0,1,10,1
study2,14,8140,0, BM-018,1,10,10,31,0,2,3,0,16,129,1
study2,14,8140,1, WM-013,1,10,9.1,31,0,2,3,0,16,129,1
study2,14,8239,0, BM-005,0,10,9.55,28,0,2,0,0,7,190,1
study2,14,8239,1, WM-009,0,10,9.55,28,0,2,0,0,7,190,1
study2,14,8379,0, empty2,0,1,1,76,0,4,0,0,0,16,1
study2,14,8379,1, empty2,0,1,1.45,76,0,4,0,0,0,16,1
study2,14,8681,0, BM-017,1,9,10,33,0,2,0,0,12,379,1
study2,14,8681,1, WM-012,1,9,9.1,33,0,2,0,0,12,379,1
study2,14,9129,0, BM-013,0,6,5.5,26,0,2,0,0,2,18,1
study2,14,9129,1, WM-015,0,6,5.5,26,0,2,0,0,2,18,1
study2,14,10359,0, BM-016,0,6,5.05,25,0,2,0,0,2,401,0
study2,14,10359,1, WM-019,0,6,5.95,25,0,2,0,0,2,401,0
study2,15,70,0, BM-011,0,4,1.9,29,0,2,0,0,0,379,1
study2,15,70,1, WM-011,0,4,1.9,29,0,2,0,0,0,379,1
study2,15,728,0, BM-017,1,1,9.1,34,0,3,0,0,4,61,1
study2,15,728,1, WM-012,1,1,9.1,34,0,3,0,0,4,61,1
study2,15,963,0, BM-001,0,5,5.05,25,0,1,0,0,1,16,1
study2,15,963,1, WM-003,0,5,4.15,25,0,1,0,0,1,16,1
study2,15,2402,0, BM-034,1,7,9.55,46,0,2,0,0,15,129,1
study2,15,2402,1, WM-221,1,7,9.55,46,0,2,0,0,15,129,1
study2,15,2438,0, empty2,0,1,1.45,67,0,4,0,0,0,45,0
study2,15,2438,1, empty2,0,1,1.45,67,0,4,0,0,0,45,0
study2,15,2583,0, BF-009,0,3,9.1,35,1,1,0,0,4,170,1
study2,15,2583,1, WF-008,0,3,8.2,35,1,1,0,0,4,170,1
study2,15,2632,0, empty2,0,1,7.75,56,0,1,0,0,4,306,1
study2,15,2632,1, empty2,0,1,7.75,56,0,1,0,0,4,306,1
study2,15,3999,0, BM-206,0,1,4.6,41,0,2,0,0,1,188,1
study2,15,3999,1, WM-258,0,1,4.15,41,0,2,0,0,1,188,1
study2,15,4159,0, BM-044,1,2,5.05,41,0,1,0,0,1,58,1
